anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,sector_o_tipo_gestion,cantidad_matriculados,anho_cod_geo
2012,06,CAAZAPA,0604,MOISES BERTONI,1,URBANA,OFICIAL,392,2012
2012,06,CAAZAPA,0604,MOISES BERTONI,6,RURAL,OFICIAL,929,2012
2012,06,CAAZAPA,0607,SAN JUAN NEPOMUCENO,6,RURAL,OFICIAL,25,2002
2012,06,CAAZAPA,0607,SAN JUAN NEPOMUCENO,1,URBANA,PRIVADA,69,2012
2012,06,CAAZAPA,0607,SAN JUAN NEPOMUCENO,1,URBANA,OFICIAL,3242,2012
2012,06,CAAZAPA,0607,SAN JUAN NEPOMUCENO,1,URBANA,PRIV.SUBVENCIONADA,228,2012
2012,06,CAAZAPA,0607,SAN JUAN NEPOMUCENO,6,RURAL,OFICIAL,7189,2012
2012,06,CAAZAPA,0608,TAVAI,6,RURAL,OFICIAL,4827,2012
2012,06,CAAZAPA,0608,TAVAI,1,URBANA,OFICIAL,168,2012
2012,06,CAAZAPA,0610,YUTY,1,URBANA,PRIV.SUBVENCIONADA,308,2012
2012,06,CAAZAPA,0610,YUTY,1,URBANA,PRIVADA,323,2012
2012,06,CAAZAPA,0610,YUTY,1,URBANA,OFICIAL,1593,2012
2012,06,CAAZAPA,0610,YUTY,6,RURAL,PRIVADA,7,2012
2012,06,CAAZAPA,0610,YUTY,6,RURAL,OFICIAL,3345,2012
2012,14,CANINDEYU,1402,CORPUS CHRISTI,6,RURAL,OFICIAL,16,2002
2012,14,CANINDEYU,1402,CORPUS CHRISTI,6,RURAL,PRIV.SUBVENCIONADA,105,2012
2012,14,CANINDEYU,1402,CORPUS CHRISTI,6,RURAL,OFICIAL,950,2012
2012,14,CANINDEYU,1402,CORPUS CHRISTI,1,URBANA,OFICIAL,696,2012
2012,14,CANINDEYU,1403,CURUGUATY,6,RURAL,OFICIAL,10431,2012
