IDENTIFICADOR,CUENTA MAYOR,SUBCUENTA,ANALITICO,TIPO VEHICULO,MARCA,MODELO,MOTOR,CHASIS,COLOR,CHAPA,I.M.H.,LOGO,FECHA ADQUISICION,ROTULADO,CANTIDAD,VALOR UNITARIO,VALOR TOTAL,ESTADO DE CONSERVACION,OBSERVACIONES,anho
100,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025781,8AGSA1910AR139918,BLANCO,EAF 22,528,,16/07/2010,07.22891.03.0015,1,62800000,62800000,MUY BUENO,CENTRO DE INFORMACION Y ATENCION A LA CIUDADANIA ,2010
101,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025808,8AGSA1910AR148333,BLANCO,EAF 199,529,,16/07/2010,07.22891.03.0019,1,62800000,62800000,MUY BUENO,VICE MINISTERIO DE EDUCACION SUPERIOR,2010
102,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025798,8AGSA1910AR145619,BLANCO,EAF 18,530,,16/07/2010,07.22891.03.0017,1,62800000,62800000,MUY BUENO,VICE MINISTERIO DE EDUCACION PARA LA GESTION EDUCATIVA ,2010
103,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025777,8AGSA1910AR139241,BLANCO,EAF 181,531,,16/07/2010,07.22891.03.0011,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE RELACIONES INTERNACIONALES,2010
104,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025676,8AGSA1910AR130916,BLANCO,EAF 19,532,,16/07/2010,07.22891.03.0010,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
105,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025783,8AGSA1910AR140112,BLANCO,EAF 225,533,,16/07/2010,07.22891.03.0013,1,62800000,62800000,MUY BUENO,ASSESORIA DEL GABINETE,2010
106,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025773,8AGSA1910AR139719,BLANCO,EAF 253,534,,16/07/2010,07.22891.03.0012,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE ASESORIA JURIDICA,2010
107,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025845,8AGSA1910AR160397,BEIGE,EAF 223,535,,16/07/2010,07.22891.03.0001,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
108,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025820,8AGSA1910AR153809,GRIS,EAF 202,536,,16/07/2010,07.22891.03.0007,1,62800000,62800000,MUY BUENO,DIRECCION PARA EL DESARROLLO DE LA RESPONSABILIDAD SOCIAL DE LAS EMPRESAS EN EL SECTOR EDUCATIVO ,2010
109,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025821,8AGSA1910AR155215,BEIGE,EAF 254,537,,16/07/2010,07.22891.03.0003,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
110,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025853,8AGSA1910AR165584,GRIS,EAF 185,538,,16/07/2010,07.22891.03.0002,1,62800000,62800000,MUY BUENO,DEPARTAMENTO DE DE TRANSPORTE,2010
111,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025830,8AGSA1910AR156504,GRIS,EAF 222,539,,16/07/2010,07.22891.03.0006,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
112,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025841,8AGSA1910AR159776,BLANCO,EAF 226,540,,16/07/2010,07.22891.03.0004,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,2010
113,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025834,8AGSA1910AR157219,BLANCO,EAF 25,541,,16/07/2010,07.22891.03.0005,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE PLANIFICACION EDUCATIVA,2010
114,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025811,8AGSA1910AR148656,GRIS,EAF 186,542,,16/07/2010,07.22891.03.0009,1,62800000,62800000,MUY BUENO,SECRETARIA GENERAL,2010
115,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025714,8AGSA1910AR130952,BLANCO,EAF 212,543,,16/07/2010,07.22891.03.0014,1,62800000,62800000,MUY BUENO,VICE MINISTERIO PARA EL DESARROLLO EDUCATIVO,2010
